CODE,COUNTRY,DATE,HDI,TC,TD,STI,POP,GDPCAP,CONTINENT
UKR,Ukraine,2020-10-15,0.751,12.52879724,8.561975334,4.074141855,17.59363088,8.97390804,EU
ARE,United Arab Emirates,2020-10-10,0.863,11.55218464,6.091309882,3.966132331,16.10707515,11.11681868,AS
GBR,United Kingdom,2020-10-04,0.922,13.0815768,10.65294418,4.213460043,18.03334044,10.59044673,EU
USA,United States,2020-10-12,0.924,15.86482067,12.27732762,4.135166557,19.61763693,10.90090556,NA
URY,Uruguay,2020-10-18,0.804,7.824445931,3.931825633,3.586569835,15.06073864,9.930684782,SA
UZB,Uzbekistan,2020-10-15,0.71,11.03770827,6.246106765,4.142499604,17.32613614,8.740833259,AS
VEN,Venezuela,2020-10-15,0.761,11.35046536,6.570882962,4.476882166,17.1631645,9.725856299,SA
VNM,Vietnam,2020-10-19,0.694,7.033506484,3.555348061,3.948354935,18.39370601,8.727759419,AS
YEM,Yemen,2020-10-12,0.452,7.628031127,6.390240667,3.814851094,17.21088998,7.299220849,AS
ZMB,Zambia,2020-10-05,0.588,9.619266152,5.80814249,3.794139965,16.72698889,8.213178735,AF
ZWE,Zimbabwe,2020-10-19,0.535,9.00540504,5.442417711,4.34185547,16.51438055,7.549490737,AF
